glyph_name,ps_name,sort_design,sort_final,in_g,in_k,usv,in_docs,doc_name,doc_uni,frame_l,frame_r1,frame_r2
G,G,7042,42,,Y,U+0047,D,LATIN CAPITAL LETTER G,U+0047,,,
H,H,7043,43,,Y,U+0048,D,LATIN CAPITAL LETTER H,U+0048,,,
I,I,7044,44,,Y,U+0049,D,LATIN CAPITAL LETTER I,U+0049,,,
J,J,7045,45,,Y,U+004A,D,LATIN CAPITAL LETTER J,U+004A,,,
K,K,7046,46,,Y,U+004B,D,LATIN CAPITAL LETTER K,U+004B,,,
L,L,7047,47,,Y,U+004C,D,LATIN CAPITAL LETTER L,U+004C,,,
M,M,7048,48,,Y,U+004D,D,LATIN CAPITAL LETTER M,U+004D,,,
N,N,7049,49,,Y,U+004E,D,LATIN CAPITAL LETTER N,U+004E,,,
O,O,7050,50,,Y,U+004F,D,LATIN CAPITAL LETTER O,U+004F,,,
P,P,7051,51,,Y,U+0050,D,LATIN CAPITAL LETTER P,U+0050,,,
Q,Q,7052,52,,Y,U+0051,D,LATIN CAPITAL LETTER Q,U+0051,,,
R,R,7053,53,,Y,U+0052,D,LATIN CAPITAL LETTER R,U+0052,,,
S,S,7054,54,,Y,U+0053,D,LATIN CAPITAL LETTER S,U+0053,,,
T,T,7055,55,,Y,U+0054,D,LATIN CAPITAL LETTER T,U+0054,,,
U,U,7056,56,,Y,U+0055,D,LATIN CAPITAL LETTER U,U+0055,,,
V,V,7057,57,,Y,U+0056,D,LATIN CAPITAL LETTER V,U+0056,,,
W,W,7058,58,,Y,U+0057,D,LATIN CAPITAL LETTER W,U+0057,,,
X,X,7059,59,,Y,U+0058,D,LATIN CAPITAL LETTER X,U+0058,,,
Y,Y,7060,60,,Y,U+0059,D,LATIN CAPITAL LETTER Y,U+0059,,,
Z,Z,7061,61,,Y,U+005A,D,LATIN CAPITAL LETTER Z,U+005A,,,
bracketleft,bracketleft,7062,62,,Y,U+005B,D,LEFT SQUARE BRACKET,U+005B,,,
backslash,backslash,7063,63,,Y,U+005C,D,REVERSE SOLIDUS,U+005C,,,
bracketright,bracketright,7064,64,,Y,U+005D,D,RIGHT SQUARE BRACKET,U+005D,,,
asciicircum,asciicircum,7065,65,,Y,U+005E,D,CIRCUMFLEX ACCENT,U+005E,,,
underscore,underscore,7066,66,,Y,U+005F,D,LOW LINE,U+005F,,,
grave,grave,7067,67,,Y,U+0060,D,GRAVE ACCENT,U+0060,,,
a,a,7068,68,,Y,U+0061,D,LATIN SMALL LETTER A,U+0061,,,
b,b,7069,69,,Y,U+0062,D,LATIN SMALL LETTER B,U+0062,,,
c,c,7070,70,,Y,U+0063,D,LATIN SMALL LETTER C,U+0063,,,
d,d,7071,71,,Y,U+0064,D,LATIN SMALL LETTER D,U+0064,,,
e,e,7072,72,,Y,U+0065,D,LATIN SMALL LETTER E,U+0065,,,
f,f,7073,73,,Y,U+0066,D,LATIN SMALL LETTER F,U+0066,,,
g,g,7074,74,,Y,U+0067,D,LATIN SMALL LETTER G,U+0067,,,
h,h,7075,75,,Y,U+0068,D,LATIN SMALL LETTER H,U+0068,,,
i,i,7076,76,,Y,U+0069,D,LATIN SMALL LETTER I,U+0069,,,
j,j,7077,77,,Y,U+006A,D,LATIN SMALL LETTER J,U+006A,,,
k,k,7078,78,,Y,U+006B,D,LATIN SMALL LETTER K,U+006B,,,
l,l,7079,79,,Y,U+006C,D,LATIN SMALL LETTER L,U+006C,,,
m,m,7080,80,,Y,U+006D,D,LATIN SMALL LETTER M,U+006D,,,
n,n,7081,81,,Y,U+006E,D,LATIN SMALL LETTER N,U+006E,,,
o,o,7082,82,,Y,U+006F,D,LATIN SMALL LETTER O,U+006F,,,
p,p,7083,83,,Y,U+0070,D,LATIN SMALL LETTER P,U+0070,,,
q,q,7084,84,,Y,U+0071,D,LATIN SMALL LETTER Q,U+0071,,,
r,r,7085,85,,Y,U+0072,D,LATIN SMALL LETTER R,U+0072,,,
s,s,7086,86,,Y,U+0073,D,LATIN SMALL LETTER S,U+0073,,,
t,t,7087,87,,Y,U+0074,D,LATIN SMALL LETTER T,U+0074,,,
u,u,7088,88,,Y,U+0075,D,LATIN SMALL LETTER U,U+0075,,,
v,v,7089,89,,Y,U+0076,D,LATIN SMALL LETTER V,U+0076,,,
w,w,7090,90,,Y,U+0077,D,LATIN SMALL LETTER W,U+0077,,,
x,x,7091,91,,Y,U+0078,D,LATIN SMALL LETTER X,U+0078,,,
y,y,7092,92,,Y,U+0079,D,LATIN SMALL LETTER Y,U+0079,,,
z,z,7093,93,,Y,U+007A,D,LATIN SMALL LETTER Z,U+007A,,,
braceleft,braceleft,7094,94,,Y,U+007B,D,LEFT CURLY BRACKET,U+007B,,,
bar,bar,7095,95,,Y,U+007C,D,VERTICAL LINE,U+007C,,,
braceright,braceright,7096,96,,Y,U+007D,D,RIGHT CURLY BRACKET,U+007D,,,
asciitilde,asciitilde,7097,97,,Y,U+007E,D,TILDE,U+007E,,,
sterling,sterling,7133,133,,Y,U+00A3,D,POUND SIGN,U+00A3,,,
bullet,bullet,7135,135,,Y,U+2022,D,BULLET,U+2022,,,
yen,yen,7150,150,,Y,U+00A5,D,YEN SIGN,U+00A5,,,
questiondown,questiondown,7162,162,,Y,U+00BF,D,INVERTED QUESTION MARK,U+00BF,,,
exclamdown,exclamdown,7163,163,,Y,U+00A1,D,INVERTED EXCLAMATION MARK,U+00A1,,,
ellipsis,ellipsis,7171,171,,Y,U+2026,D,HORIZONTAL ELLIPSIS,U+2026,,,
Euro,Euro,7300,300,,Y,U+20AC,D,EURO SIGN,U+20AC,,,
